Education,JoiningYear,City,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Salary
Bachelors,2013,Bangalore,26,Male,No,4,0,82279.18
Bachelors,2015,Bangalore,24,Male,No,2,0,29490.86
Bachelors,2012,Bangalore,27,Female,No,5,0,58469.57
Bachelors,2012,Bangalore,25,Male,No,3,1,74741.26
Bachelors,2015,Pune,28,Female,No,4,1,90415.26
Masters,2017,Bangalore,24,Female,Yes,2,1,60774.2
Bachelors,2014,Bangalore,28,Male,No,2,0,89370.75
Masters,2017,Pune,24,Female,No,2,1,44542.87
Bachelors,2014,New Delhi,26,Female,No,4,1,79496.44
Bachelors,2015,Pune,28,Female,No,3,1,55466.28
Masters,2013,Pune,28,Male,No,5,1,42042.95
Bachelors,2013,New Delhi,28,Female,No,5,1,29945.78
Bachelors,2015,Pune,26,Female,Yes,4,1,50411.22
Masters,2015,New Delhi,28,Male,No,2,0,82043.45
Bachelors,2013,Bangalore,27,Male,No,5,0,61712.68
Bachelors,2018,Bangalore,28,Male,No,2,1,94294.3
Bachelors,2012,Pune,28,Male,No,2,0,46749.0
Bachelors,2014,Pune,27,Female,No,5,1,81507.85
Masters,2018,New Delhi,24,Male,No,2,1,63834.25
Bachelors,2018,Bangalore,25,Male,Yes,3,1,70548.74
Bachelors,2017,New Delhi,25,Male,No,3,0,51974.91
Bachelors,2014,Pune,24,Female,No,2,1,91745.69
Bachelors,2012,New Delhi,26,Female,No,4,0,84901.5
Bachelors,2014,Pune,26,Male,No,4,0,106868.39
Bachelors,2014,Bangalore,28,Male,No,4,0,76182.82
Bachelors,2018,Bangalore,26,Male,Yes,4,1,95424.65
Bachelors,2013,Pune,26,Male,No,4,0,54036.53
Bachelors,2013,Pune,25,Female,No,3,1,50955.39
Bachelors,2018,Pune,25,Male,Yes,3,1,82485.43
Bachelors,2013,Bangalore,25,Female,No,3,0,81905.91
Bachelors,2014,Bangalore,28,Male,No,4,0,68277.32
Masters,2017,New Delhi,24,Female,No,2,0,90239.25
Masters,2017,Pune,27,Female,No,5,0,41976.36
Bachelors,2012,Bangalore,24,Male,No,2,0,81082.23
Bachelors,2017,Pune,27,Female,No,5,1,73255.8
Masters,2017,New Delhi,28,Male,No,4,0,50061.29
Bachelors,2017,New Delhi,25,Male,No,3,0,42800.86
Bachelors,2017,Pune,25,Male,Yes,3,1,66873.26
Masters,2017,Pune,24,Female,No,2,1,55093.02
Bachelors,2013,Pune,27,Male,Yes,5,1,75519.01
Bachelors,2016,Bangalore,26,Female,No,4,1,88788.96
Bachelors,2015,Pune,27,Female,No,5,1,33490.61
Bachelors,2014,Bangalore,27,Male,No,5,1,65384.17
Bachelors,2012,Bangalore,26,Male,No,4,0,95862.23
Bachelors,2016,Pune,27,Female,No,5,1,43801.56
Masters,2017,Bangalore,28,Male,No,2,0,57078.01
Masters,2017,New Delhi,24,Female,No,2,1,67339.25
Bachelors,2017,Pune,24,Male,No,2,0,88366.5
Bachelors,2018,Bangalore,24,Male,No,2,1,78163.97
Masters,2017,New Delhi,28,Male,No,3,0,49016.97
Bachelors,2015,Bangalore,26,Female,Yes,4,0,77527.26
Bachelors,2018,Pune,26,Female,No,4,1,84776.02
Bachelors,2013,Bangalore,25,Male,Yes,3,0,96910.33
Bachelors,2016,Bangalore,26,Male,No,4,0,57937.11
Masters,2018,Pune,28,Male,No,2,1,74594.22
Bachelors,2016,Bangalore,26,Male,No,4,0,86506.71
Bachelors,2017,Bangalore,27,Male,No,5,0,60453.7
Bachelors,2012,Bangalore,27,Female,No,5,0,77312.69
PHD,2016,New Delhi,27,Male,No,5,0,76576.1
Bachelors,2017,New Delhi,25,Male,No,3,0,41653.03
Bachelors,2015,New Delhi,28,Female,No,2,0,82599.92
Bachelors,2013,Pune,26,Female,No,4,1,46036.55
Bachelors,2017,Bangalore,27,Female,No,5,0,92755.2
Bachelors,2015,Pune,24,Female,No,2,1,47927.09
Bachelors,2017,Bangalore,27,Female,No,5,0,86135.98
Bachelors,2016,Bangalore,25,Male,No,3,1,70845.48
Bachelors,2018,Bangalore,26,Male,No,4,1,99725.14
Bachelors,2015,Bangalore,27,Male,No,5,0,85494.44
Bachelors,2014,Pune,24,Male,No,2,0,89848.3
Bachelors,2012,Bangalore,27,Male,No,5,0,105552.62
Bachelors,2013,Pune,27,Male,No,5,0,97714.98
Bachelors,2015,Bangalore,25,Male,No,3,0,41274.22
Masters,2017,New Delhi,25,Female,No,3,0,55679.31
PHD,2015,Pune,28,Male,No,0,0,72583.13
Bachelors,2015,Bangalore,28,Male,No,3,0,95540.86
Bachelors,2016,Bangalore,28,Male,No,5,0,60395.96
PHD,2013,New Delhi,24,Male,No,2,0,76352.14
Bachelors,2014,Bangalore,26,Male,Yes,4,0,104599.56
Bachelors,2015,Pune,26,Female,Yes,4,1,54911.6
Bachelors,2017,Bangalore,27,Male,Yes,5,0,81043.93
Bachelors,2014,New Delhi,26,Male,No,4,0,101140.58
Masters,2013,Bangalore,27,Male,No,5,1,97404.23
Bachelors,2016,Pune,24,Male,Yes,2,0,93859.98
Bachelors,2016,Bangalore,26,Male,No,4,0,87604.01
Bachelors,2013,Pune,28,Female,No,2,1,54934.93
Masters,2017,Bangalore,24,Male,No,2,1,41886.45
Masters,2017,New Delhi,24,Male,No,2,1,50835.45
Masters,2015,Pune,24,Female,No,2,1,31025.27
Bachelors,2014,Pune,26,Male,No,4,0,73279.01
Bachelors,2016,Pune,27,Female,No,5,1,61226.63
Bachelors,2017,Bangalore,25,Male,No,3,0,79643.65
Masters,2017,New Delhi,26,Female,No,4,0,61533.73
Bachelors,2016,Bangalore,25,Female,No,3,0,35599.09
PHD,2014,Bangalore,25,Female,No,3,0,26323.85
Bachelors,2013,Bangalore,25,Female,No,3,0,68788.36
Bachelors,2014,New Delhi,24,Male,No,2,0,92009.95
Bachelors,2015,Pune,28,Female,Yes,2,1,48039.48
Bachelors,2014,New Delhi,28,Male,No,5,0,91364.81
Bachelors,2015,Bangalore,26,Male,No,4,0,77955.17
Bachelors,2014,Bangalore,25,Male,No,3,0,85332.51
Bachelors,2018,Pune,26,Male,No,4,1,97616.26
Masters,2015,Pune,28,Female,No,2,0,41700.82
Masters,2013,New Delhi,28,Male,No,2,1,99395.42
Bachelors,2014,Bangalore,25,Male,No,3,0,92771.99
Masters,2015,New Delhi,26,Female,No,4,0,44425.48
Bachelors,2016,New Delhi,27,Male,No,5,0,91994.45
Bachelors,2014,Bangalore,24,Female,No,2,0,76924.43
Masters,2017,Pune,24,Female,No,2,0,79000.11
Bachelors,2014,Pune,25,Female,No,3,1,70085.85
Bachelors,2015,Pune,27,Female,No,5,1,94083.03
Bachelors,2017,New Delhi,28,Male,No,0,0,56720.77
Bachelors,2017,New Delhi,25,Female,No,3,0,49776.44
Bachelors,2012,Pune,24,Male,No,2,1,71108.32
Masters,2016,New Delhi,25,Male,No,3,1,88788.84
Bachelors,2015,Pune,26,Female,No,4,1,52084.37
Masters,2014,New Delhi,27,Male,No,5,0,71915.57
Bachelors,2015,Bangalore,24,Female,No,2,1,67919.58
Bachelors,2014,New Delhi,25,Male,No,3,0,58686.75
Bachelors,2017,Bangalore,24,Male,No,2,0,98937.93
Bachelors,2017,New Delhi,24,Female,No,2,1,77626.83
Bachelors,2012,Bangalore,28,Male,No,1,0,58236.11
Bachelors,2014,Bangalore,26,Male,No,4,0,30736.05
Bachelors,2017,Bangalore,28,Male,Yes,3,0,87011.4
Bachelors,2015,Pune,25,Female,No,3,1,38305.93
Bachelors,2015,Pune,24,Female,Yes,2,1,45356.26
Bachelors,2017,Pune,26,Male,No,4,0,58173.23
Bachelors,2015,Bangalore,28,Male,No,0,0,91226.64
Bachelors,2016,Bangalore,28,Male,No,2,0,60316.11
Bachelors,2013,Pune,28,Female,Yes,3,1,60493.75
Bachelors,2017,Bangalore,27,Male,No,5,0,57029.09
Masters,2015,New Delhi,25,Male,No,3,0,55785.68
Bachelors,2012,New Delhi,28,Female,No,4,0,79838.3
Bachelors,2012,Bangalore,26,Male,No,4,0,72804.73
Bachelors,2012,Bangalore,25,Male,No,3,0,87560.63
Masters,2017,New Delhi,25,Male,No,3,1,102900.12
Bachelors,2017,Bangalore,25,Male,No,3,0,77910.18
Bachelors,2012,Bangalore,26,Female,No,4,0,74714.0
Bachelors,2017,Bangalore,26,Female,No,4,0,106970.28
Masters,2017,New Delhi,25,Male,Yes,3,1,50221.57
Bachelors,2015,Bangalore,25,Male,No,3,0,53454.0
Bachelors,2013,Bangalore,26,Female,No,4,0,74996.38
Bachelors,2017,Pune,25,Female,No,3,1,67506.98
Bachelors,2014,New Delhi,28,Female,Yes,2,0,69678.17
Bachelors,2016,Bangalore,27,Female,No,5,0,63768.99
Bachelors,2018,Bangalore,25,Male,No,3,1,93799.49
Bachelors,2012,Bangalore,27,Female,Yes,5,0,61491.69
Bachelors,2017,New Delhi,27,Female,No,5,0,92234.02
Bachelors,2016,Bangalore,25,Male,No,3,1,39046.7
Bachelors,2016,Bangalore,28,Female,No,4,0,86500.16
Bachelors,2017,New Delhi,27,Male,No,5,0,47783.76
Bachelors,2016,Bangalore,24,Female,No,2,0,50720.44
Bachelors,2013,Bangalore,25,Male,No,3,0,71650.98
Bachelors,2017,New Delhi,25,Female,No,3,0,51740.67
Bachelors,2015,Pune,24,Male,No,2,0,83702.84
Bachelors,2012,New Delhi,25,Female,No,3,0,114533.1
PHD,2017,New Delhi,27,Female,No,5,0,90212.63
Bachelors,2014,Bangalore,25,Female,No,3,1,97792.86
Masters,2017,Bangalore,28,Male,No,2,0,73735.21
Bachelors,2016,Pune,25,Male,No,3,0,81268.75
Bachelors,2014,Bangalore,25,Male,Yes,3,0,92190.96
Bachelors,2012,New Delhi,27,Male,No,5,0,67666.35
Bachelors,2012,Pune,25,Female,No,3,1,73217.53
Masters,2015,New Delhi,27,Female,No,5,0,59747.08
Bachelors,2014,Bangalore,24,Male,No,2,0,90079.89
Bachelors,2015,Pune,27,Female,No,5,1,59466.97
Bachelors,2014,Bangalore,25,Male,No,3,1,76607.76
Bachelors,2015,Bangalore,25,Male,No,3,0,88779.55
Bachelors,2018,New Delhi,26,Female,No,4,1,72750.14
Bachelors,2017,Pune,26,Female,No,4,1,56434.75
Bachelors,2014,Pune,24,Female,No,2,1,55543.67
Bachelors,2013,Bangalore,27,Male,No,5,0,84712.27
Bachelors,2017,New Delhi,27,Male,No,5,0,54935.67
PHD,2012,New Delhi,28,Female,No,1,0,91881.82
Masters,2012,New Delhi,26,Female,No,4,1,97182.88
Bachelors,2014,Bangalore,27,Male,No,5,0,71254.8
Bachelors,2013,Bangalore,28,Female,No,0,1,108477.68
Bachelors,2014,Pune,26,Male,No,4,0,93510.22
Bachelors,2016,Pune,24,Female,No,2,1,47234.05
Bachelors,2015,Bangalore,24,Female,No,2,1,28694.82
Bachelors,2012,Bangalore,26,Female,No,4,0,95552.77
Masters,2014,Pune,27,Male,No,5,0,85441.65
Masters,2017,New Delhi,27,Male,No,5,1,32389.24
Masters,2017,New Delhi,25,Female,No,3,0,36076.59
Masters,2012,Pune,28,Male,No,0,1,86531.1
Masters,2012,New Delhi,28,Male,No,2,1,85518.04
Masters,2013,New Delhi,24,Male,No,2,1,47669.19
Bachelors,2015,Pune,25,Female,No,3,1,86888.62
Masters,2017,New Delhi,28,Male,No,5,0,76646.3
Bachelors,2013,Bangalore,24,Male,No,2,0,89021.96
Masters,2015,Bangalore,28,Male,No,1,1,81962.84
Bachelors,2018,Bangalore,27,Female,Yes,5,1,66844.95
Bachelors,2015,Bangalore,24,Male,No,2,1,66712.4
Bachelors,2014,Pune,26,Male,No,4,0,81389.61
Bachelors,2013,New Delhi,25,Female,No,3,0,69988.89
Bachelors,2013,Bangalore,26,Male,No,4,0,74744.05
Bachelors,2018,New Delhi,28,Female,No,0,1,93669.13
Bachelors,2013,Bangalore,25,Female,No,3,0,94977.9
PHD,2012,Pune,27,Male,No,5,0,79499.87
Bachelors,2013,Bangalore,24,Male,No,2,0,82032.59
Bachelors,2013,Bangalore,28,Female,No,3,0,76128.31
Bachelors,2015,Pune,24,Male,No,2,0,79634.08
Bachelors,2013,Pune,27,Male,No,5,0,103550.1
Bachelors,2012,New Delhi,27,Male,No,5,0,92795.42
Bachelors,2018,Bangalore,26,Female,Yes,4,1,73044.98
Bachelors,2013,Bangalore,26,Male,No,4,0,59617.86
Bachelors,2015,Pune,24,Female,No,2,1,48443.36
Bachelors,2016,Bangalore,24,Male,No,2,0,78374.41
PHD,2018,Bangalore,27,Female,No,5,1,99757.77
Bachelors,2015,Bangalore,26,Male,No,4,0,93997.83
Bachelors,2015,New Delhi,26,Female,No,4,1,31662.15
Bachelors,2015,Pune,24,Female,No,2,1,49971.44
Bachelors,2013,Pune,27,Male,No,5,0,61040.18
PHD,2016,New Delhi,24,Female,No,2,0,67803.54
Bachelors,2013,Bangalore,26,Male,No,4,0,83047.47
Bachelors,2015,Bangalore,28,Male,No,5,0,79849.71
Bachelors,2015,Bangalore,26,Female,No,4,0,79852.71
Bachelors,2016,Bangalore,27,Female,No,5,0,74885.34
Bachelors,2017,Pune,25,Female,No,3,1,107902.27
Masters,2017,New Delhi,26,Male,No,4,1,46430.08
Bachelors,2012,Bangalore,27,Male,No,5,0,82252.91
Bachelors,2014,Bangalore,26,Female,No,4,1,66039.82
Bachelors,2015,Pune,25,Female,No,3,1,44925.81
Bachelors,2013,Bangalore,26,Male,No,4,0,107679.44
Bachelors,2017,Pune,28,Male,No,1,1,51068.43
Bachelors,2014,Bangalore,25,Male,No,3,0,85188.53
Bachelors,2013,Bangalore,27,Male,No,5,0,73746.31
PHD,2013,Bangalore,26,Male,No,4,0,85444.16
Bachelors,2013,New Delhi,25,Female,Yes,3,1,72032.11
Bachelors,2017,Bangalore,28,Female,No,3,0,20078.23
Bachelors,2014,Bangalore,26,Male,No,4,0,70694.6
Bachelors,2015,New Delhi,27,Male,No,5,0,39384.19
Masters,2013,Pune,28,Male,No,2,1,49311.38
Bachelors,2013,New Delhi,25,Female,Yes,3,1,74462.77
Masters,2017,New Delhi,26,Male,No,4,0,60941.76
Masters,2016,New Delhi,25,Male,No,3,0,88238.72
Bachelors,2017,Bangalore,28,Female,Yes,5,0,94845.46
Masters,2017,New Delhi,28,Female,No,2,0,48370.2
Bachelors,2012,Bangalore,27,Male,No,5,1,27631.49
Bachelors,2018,Bangalore,27,Male,No,5,1,62240.37
Bachelors,2016,Bangalore,24,Female,No,2,0,96458.6
Bachelors,2017,Pune,26,Male,No,4,0,77616.89
Bachelors,2017,New Delhi,25,Female,No,3,0,92688.71
Bachelors,2015,Pune,28,Female,Yes,5,1,74498.06
Bachelors,2015,Bangalore,26,Male,No,4,1,61386.89
Masters,2015,Pune,26,Female,Yes,4,1,61429.81
Masters,2015,Pune,25,Male,No,3,1,109327.33
Bachelors,2016,Pune,27,Female,No,5,1,100287.03
Bachelors,2013,Bangalore,25,Male,No,3,0,82070.64
Bachelors,2018,Pune,26,Male,Yes,4,1,56340.35
Bachelors,2014,Bangalore,27,Female,No,5,0,82140.41
Bachelors,2017,Bangalore,25,Male,No,3,0,24231.64
Bachelors,2015,New Delhi,26,Male,No,4,0,77075.43
Bachelors,2015,Pune,24,Female,No,2,1,78663.77
Bachelors,2015,Bangalore,28,Male,No,2,0,71314.8
Bachelors,2014,Pune,26,Female,No,4,1,57953.94
Bachelors,2017,Bangalore,27,Male,No,5,1,87509.88
Bachelors,2014,Bangalore,26,Male,No,4,0,71690.96
Bachelors,2018,New Delhi,28,Female,No,5,1,67435.51
Bachelors,2015,Bangalore,28,Male,No,0,1,74105.48
Bachelors,2016,New Delhi,28,Female,No,3,0,79364.35
Bachelors,2017,Bangalore,25,Male,No,3,0,86043.82
Bachelors,2015,Pune,24,Female,No,2,1,65756.62
Masters,2018,New Delhi,28,Male,No,2,1,84432.9
Bachelors,2015,Bangalore,27,Female,No,5,0,92875.07
Bachelors,2017,Bangalore,24,Male,No,2,1,56469.98
Bachelors,2017,New Delhi,28,Female,No,0,0,49620.36
Bachelors,2015,Bangalore,25,Male,No,3,0,78998.08
Bachelors,2012,Bangalore,28,Male,No,2,0,103674.74
Bachelors,2013,Bangalore,26,Male,No,4,0,82753.48
Bachelors,2016,Bangalore,24,Male,No,2,0,36836.82
Bachelors,2016,Pune,27,Male,No,5,0,54334.22
Bachelors,2013,Pune,24,Male,No,2,0,80919.44
Masters,2017,Pune,26,Female,No,4,1,58873.87
Bachelors,2017,New Delhi,26,Male,No,4,0,87456.06
Bachelors,2018,Pune,25,Female,No,3,1,81916.38
Bachelors,2018,Bangalore,24,Male,No,2,1,81321.31
Bachelors,2015,Pune,24,Male,Yes,2,0,53875.73
Bachelors,2013,Bangalore,24,Female,No,2,1,69070.49
Bachelors,2013,Pune,28,Male,Yes,0,1,55840.27
Bachelors,2018,Bangalore,24,Male,No,2,1,75923.08
Bachelors,2014,Bangalore,24,Male,No,2,0,77043.72
Bachelors,2016,Bangalore,28,Female,No,5,0,74947.23
Bachelors,2014,Bangalore,25,Male,No,3,0,88117.93
Bachelors,2014,Bangalore,26,Female,No,4,0,66123.78
Masters,2017,Bangalore,28,Male,No,2,0,47294.91
Bachelors,2012,Bangalore,27,Male,No,5,0,66150.6
Bachelors,2016,Bangalore,27,Female,No,5,0,83427.78
Masters,2018,Bangalore,28,Male,No,2,1,107490.34
Bachelors,2017,Bangalore,24,Male,No,2,0,114619.25
Bachelors,2012,Pune,24,Male,No,2,0,67555.09
Bachelors,2016,New Delhi,28,Male,No,0,0,90344.29
Bachelors,2012,Bangalore,27,Male,No,5,0,101800.38
Bachelors,2014,Bangalore,27,Male,No,5,0,89091.59
Bachelors,2017,Bangalore,24,Male,No,2,1,75140.76
Bachelors,2012,Bangalore,27,Male,No,5,0,19683.66
Bachelors,2017,Bangalore,28,Female,No,5,0,92888.86
Bachelors,2014,Pune,25,Male,No,3,0,98335.97
Bachelors,2015,Pune,25,Male,No,3,0,76921.77
Bachelors,2017,Pune,28,Male,No,0,1,62650.17
Bachelors,2015,Pune,26,Female,No,4,1,58869.61
Bachelors,2015,Pune,27,Female,No,5,1,40809.94
Bachelors,2015,Pune,26,Female,No,4,1,64994.38
Bachelors,2015,Bangalore,28,Female,No,3,1,45339.83
Bachelors,2012,Pune,25,Male,No,3,0,68829.09
Bachelors,2013,Bangalore,25,Male,Yes,3,1,83355.51
Bachelors,2016,New Delhi,26,Male,No,4,0,80858.04
PHD,2018,New Delhi,24,Female,No,2,1,97168.83
Bachelors,2014,Bangalore,27,Female,No,5,0,81590.3
Masters,2017,New Delhi,26,Male,Yes,4,1,47183.7
Bachelors,2015,Pune,27,Female,No,5,1,57136.45
Bachelors,2014,Bangalore,24,Male,No,2,0,85333.29
Masters,2017,Pune,25,Female,No,3,0,41017.43
Bachelors,2017,New Delhi,28,Female,No,2,0,71366.9
Bachelors,2014,Bangalore,27,Male,Yes,5,0,77990.94
Bachelors,2012,Bangalore,24,Male,No,2,0,91693.44
Bachelors,2018,Pune,24,Male,No,2,1,98750.81
Bachelors,2015,Bangalore,27,Female,Yes,5,1,98286.81
Bachelors,2015,New Delhi,28,Female,No,3,0,106927.87
Bachelors,2015,Pune,27,Female,No,5,1,95813.82
Bachelors,2015,Bangalore,28,Male,No,5,0,105094.81
Bachelors,2015,New Delhi,27,Female,Yes,5,1,50640.23
Bachelors,2016,Bangalore,27,Male,No,5,0,85556.05
Masters,2017,New Delhi,27,Female,No,5,1,87726.56
Bachelors,2017,Pune,26,Female,No,4,1,49482.88
Bachelors,2015,Pune,27,Female,No,5,1,81278.31
Bachelors,2018,Pune,27,Female,No,5,1,91654.58
Bachelors,2012,Bangalore,25,Male,No,3,0,84082.9
Bachelors,2017,Bangalore,25,Male,No,3,0,54258.99
PHD,2013,New Delhi,27,Female,No,5,1,91361.14
Bachelors,2016,Bangalore,28,Male,No,2,0,84477.52
Bachelors,2012,Bangalore,25,Female,Yes,3,0,87157.64
Bachelors,2015,Bangalore,27,Male,No,5,0,87770.13
Bachelors,2016,Pune,24,Female,No,2,1,37926.78
Bachelors,2016,Bangalore,26,Male,No,4,1,86240.4
Bachelors,2014,Pune,27,Male,Yes,5,0,76391.11
Bachelors,2013,Bangalore,24,Male,Yes,2,0,80848.09
Bachelors,2017,Bangalore,25,Male,No,3,1,84249.25
Bachelors,2017,Pune,24,Female,No,2,1,59201.12
Bachelors,2013,Bangalore,27,Male,No,5,0,86188.97
Masters,2013,Bangalore,26,Female,No,4,1,94645.53
Bachelors,2012,Pune,25,Female,No,3,1,74142.57
Bachelors,2015,New Delhi,28,Female,No,2,0,62797.63
Masters,2017,New Delhi,24,Female,No,2,0,48753.27
Masters,2013,New Delhi,26,Male,No,4,1,81673.68
Bachelors,2014,Bangalore,26,Male,No,4,0,68702.77
PHD,2016,New Delhi,24,Female,No,2,0,82541.36
Bachelors,2017,New Delhi,26,Male,No,4,0,77441.61
Bachelors,2016,Bangalore,26,Male,No,4,0,92167.93
Bachelors,2014,Bangalore,27,Male,No,5,0,57479.35
Bachelors,2017,New Delhi,28,Female,No,0,0,84672.82
PHD,2016,New Delhi,27,Female,No,5,0,74800.1
Masters,2014,Bangalore,28,Female,No,4,1,87972.48
Bachelors,2014,Bangalore,28,Female,No,2,0,85811.2
Bachelors,2017,Bangalore,24,Female,No,2,0,72203.25
Masters,2015,New Delhi,28,Male,No,0,0,85636.0
Bachelors,2015,Pune,25,Female,No,3,1,53707.84
Masters,2017,Pune,27,Male,No,5,1,47341.31
Bachelors,2014,Pune,25,Female,No,3,1,45624.65
Bachelors,2015,Pune,28,Female,Yes,2,1,55571.75
Bachelors,2013,Pune,25,Male,No,3,0,105037.65
Bachelors,2013,Pune,26,Female,No,4,1,20388.45
Bachelors,2012,Pune,27,Female,No,5,1,54948.43
Masters,2017,New Delhi,28,Male,No,0,0,55802.13
Bachelors,2012,Bangalore,28,Female,No,1,0,82328.26
Bachelors,2015,Pune,25,Female,Yes,3,1,48197.29
Bachelors,2015,Bangalore,26,Male,No,4,0,80307.35
Bachelors,2015,Bangalore,24,Female,No,2,0,57338.19
Bachelors,2018,New Delhi,24,Female,No,2,1,100504.16
Bachelors,2017,New Delhi,27,Female,Yes,5,0,81214.97
PHD,2012,Pune,27,Male,No,5,0,93699.74
Bachelors,2012,Bangalore,26,Male,No,4,0,77624.01
Bachelors,2013,Bangalore,25,Male,No,3,1,91812.19
Bachelors,2015,New Delhi,24,Female,No,2,0,86007.65
Bachelors,2013,Pune,24,Female,No,2,0,78122.14
Bachelors,2016,Pune,24,Male,No,2,0,69179.23
Bachelors,2018,Pune,24,Male,Yes,2,1,88599.59
Bachelors,2015,Bangalore,27,Female,Yes,5,1,87091.45
Bachelors,2018,Bangalore,26,Male,No,4,1,106514.72
Bachelors,2012,Pune,24,Female,No,2,1,78114.34
Masters,2017,New Delhi,27,Male,No,5,1,80214.23
Bachelors,2012,Bangalore,26,Male,No,4,0,98624.32
Bachelors,2013,Bangalore,27,Male,No,5,0,74249.8
Bachelors,2015,New Delhi,25,Female,No,3,0,95216.82
Bachelors,2018,Bangalore,24,Female,No,2,1,84787.34
Bachelors,2014,Bangalore,28,Male,No,4,0,54950.64
Bachelors,2013,Pune,26,Female,No,4,1,39857.93
Bachelors,2015,Bangalore,27,Male,No,5,0,89127.79
Bachelors,2013,Bangalore,24,Male,No,2,0,74509.28
Bachelors,2016,Bangalore,26,Male,No,4,1,59298.14
Bachelors,2013,Bangalore,25,Female,No,3,1,70878.31
Bachelors,2016,Bangalore,27,Male,Yes,5,0,77258.43
Bachelors,2017,Pune,26,Male,No,4,0,76715.96
Bachelors,2018,Pune,28,Female,No,5,1,59064.68
Masters,2017,Pune,27,Male,No,5,0,53244.94
Bachelors,2013,Bangalore,25,Female,No,3,0,95840.67
Bachelors,2017,Bangalore,24,Male,No,2,0,60760.05
Bachelors,2017,New Delhi,25,Female,No,3,0,58351.07
Bachelors,2018,Pune,27,Female,No,5,1,92675.6
Bachelors,2016,Pune,27,Male,No,5,0,84756.47
Bachelors,2013,Bangalore,24,Male,No,2,0,30231.93
Bachelors,2012,Bangalore,28,Male,No,3,0,39807.23
Bachelors,2016,Pune,28,Female,No,3,1,51285.85
Bachelors,2016,Pune,24,Male,No,2,0,103437.02
Bachelors,2017,Bangalore,28,Male,No,3,0,86679.25
Bachelors,2017,Pune,28,Male,No,3,0,54318.75
Bachelors,2017,Bangalore,25,Female,No,3,1,85331.82
Bachelors,2015,Bangalore,25,Male,No,3,0,82826.86
Masters,2013,New Delhi,25,Male,No,3,1,81004.54
Bachelors,2017,Bangalore,24,Male,No,2,0,98618.92
Bachelors,2013,Pune,27,Male,No,5,0,72902.53
Bachelors,2013,Pune,24,Female,No,2,1,40527.85
Bachelors,2017,Bangalore,28,Male,No,1,1,69060.32
Bachelors,2012,Bangalore,25,Male,No,3,0,78358.41
Bachelors,2014,Pune,26,Male,No,4,0,82408.99
Bachelors,2015,Pune,24,Female,No,2,1,29892.41
Masters,2013,New Delhi,24,Female,Yes,2,1,82663.32
Bachelors,2014,Bangalore,25,Male,No,3,0,83344.0
Bachelors,2017,New Delhi,26,Male,No,4,0,50246.37
Bachelors,2014,Bangalore,25,Male,No,3,0,76329.93
Masters,2013,New Delhi,25,Male,No,3,1,85493.38
Bachelors,2014,Bangalore,24,Male,No,2,0,74973.5
Bachelors,2014,Pune,28,Female,No,3,1,46233.72
Masters,2015,New Delhi,28,Male,No,2,0,89266.18
Bachelors,2015,Bangalore,28,Male,No,5,0,61891.17
Bachelors,2017,Bangalore,24,Male,No,2,0,78049.68
Bachelors,2014,Pune,27,Male,No,5,0,88575.84
Bachelors,2015,Pune,28,Female,No,5,1,43476.16
Masters,2017,New Delhi,26,Female,No,4,1,48420.56
Bachelors,2016,New Delhi,26,Female,No,4,0,83139.58
Bachelors,2016,Bangalore,26,Female,No,4,0,70497.14
Bachelors,2013,New Delhi,27,Female,No,5,0,87203.38
Bachelors,2014,Bangalore,28,Male,No,3,0,79409.33
Bachelors,2017,New Delhi,25,Male,No,3,0,60401.99
Bachelors,2015,Bangalore,27,Male,No,5,0,39459.63
Bachelors,2013,Bangalore,26,Male,No,4,0,75123.76
Bachelors,2014,Bangalore,24,Female,No,2,0,80906.02
Bachelors,2014,Pune,26,Male,No,4,0,53232.7
Bachelors,2013,Bangalore,24,Male,No,2,1,73592.53
Bachelors,2012,Bangalore,25,Male,No,3,0,87593.86
Bachelors,2012,Bangalore,27,Male,Yes,5,0,95746.67
Bachelors,2012,Bangalore,28,Male,No,1,0,68092.68
Masters,2017,New Delhi,25,Female,No,3,1,50578.07
Bachelors,2014,Bangalore,25,Male,No,3,0,114688.54
Bachelors,2016,Pune,27,Female,No,5,1,37610.79
Bachelors,2017,Pune,28,Male,No,3,0,61763.42
Masters,2017,New Delhi,28,Male,No,2,0,95850.02
PHD,2018,Pune,26,Male,No,4,1,65587.18
Masters,2017,New Delhi,24,Male,No,2,1,53856.25
Bachelors,2014,Bangalore,28,Male,No,0,0,73168.16
Masters,2015,Pune,26,Female,No,4,0,69893.98
Bachelors,2016,Bangalore,27,Male,No,5,1,81196.25
Bachelors,2016,New Delhi,28,Female,No,4,0,87141.23
Bachelors,2012,Pune,26,Male,No,4,0,81694.62
Masters,2015,Bangalore,27,Female,No,5,1,48633.71
Masters,2017,Pune,28,Male,No,0,0,28723.3
Masters,2015,New Delhi,28,Female,No,2,0,67745.74
Bachelors,2017,Bangalore,26,Male,No,4,1,80280.33
Bachelors,2017,Pune,28,Female,No,4,1,72305.03
Bachelors,2015,Pune,25,Male,No,3,0,86826.94
Masters,2017,New Delhi,27,Female,No,5,0,53996.23
Masters,2015,Pune,27,Female,No,5,0,51029.48
